,,v1,v2,v3
604,0.43,והנה יוצאת טופס הנכות.,"והנה, טופס הנכות בידיים.",והנה הטופס לנכות יוצא.
604,0.71,והנה יוצאת הטופס לנכות.,והנה הטופס לנכות יוצא.,"והנה, הטופס למוגבלות יוצא לדרך."
605,0.18,השגת את מבוקשך?,קיבלת מה שרצית?,קיבלת את מה שרצית?
605,0.43,הצלחת להשיג את מה שרצית?,השגת את מבוקשך?,קיבלת מה שרצית?
605,0.71,השגת את מבוקשך?,קיבלת מה שרצית?,קיבלת את מה שחיפשת?
606,0.18,מקבלים את המציאות.,את מקבלת את מה שקרה.,אתה מקבל את מה שקרה.
606,0.43,מקבלים את המציאות.,את מקבלת את מה שקרה.,אתה מקבל את מה שקרה.
606,0.71,מקבלים את המצב.,את מקבלת את מה שקרה.,אתה מקבל את מה שקרה.
607,0.18,זו צעדה ראשונה טובה.,זה צעד ראשון חשוב.,זהו צעד ראשון טוב.
607,0.43,זהו צעד ראשון טוב.,זאת צעדה ראשונה טובה.,זהו התחלה טובה.
607,0.71,זו נקודת התחלה טובה.,זה צעד ראשון טוב.,זהו צעד ראשוני טוב.
608,0.18,אני ממליצה על החזרה תנאית שלך...,אני ממליץ על החזרה תנאית שלך...,אני מציעה החזרה תנאית...
608,0.43,אני ממליצה על החזרה תנאית שלך...,אני ממליץ על החזרה תנאית שלך...,אני מציעה החזרה תנאית...
608,0.71,אני ממליץ על החזרתך התנאית...,אני מציעה החזרה תנאית...,אני ממליצה על החזרה תנאית...
609,0.18,...אבל אני רוצה להמשיך לפגוש אותך.,...אבל אני מעוניינת להמשיך ולראות אותך.,...אבל אני רוצה להמשיך לראות אותך.
609,0.43,...אבל אני רוצה להמשיך לפגוש אותך.,...אבל אני רוצה להמשיך לראות אותך.,...אבל אני מעוניינת להמשיך ולפגוש אותך.
609,0.71,...אבל אני רוצה להמשיך לפגוש אותך.,...אך אני מעוניינת להמשיך ולראותך.,...אבל אני רוצה להמשיך לראות אותך.
610,0.18,♪♪,,
610,0.43,♪♪,,
610,0.71,♪♪,,
611,0.18,"היי, שמעתי את הסיפור.","היי, שמעתי את החדשות.","היי, נשמע לי מה שקרה."
611,0.43,"היי, שמעתי את החדשות.","היי, נתקלתי בחדשות.","היי, קלטתי את החדשות."
611,0.71,"היי, שמעתי את החדשות.","אהלן, קלטתי את החדשות.","היי, נשמעו לי החדשות."
612,0.18,מזל טוב על הקידום.,"מזל טוב, גברת החוקר.","מזל טוב, חוקר."
612,0.43,"מזל טוב על הקידום, חוקר.","מזל טוב, גברת החוקר.","מזל טוב, חוקר."
612,0.71,"ברכות, חוקר.","מזל טוב, חוקר.","כל הכבוד, חוקר."
613,0.18,"נו, זה היה קידום שניתן לאחר מות.","אופס, זה היה קידום לאחר מות.","אה, כן, זו הייתה קידום לאחר מות."
613,0.43,"אה, כן, זה היה קידום לאחר מות.","נכון, זה היה קידום פוסטומי.","אוקיי, זה היה קידום שניתן לאחר מות."
613,0.71,"נו, זה היה קידום פוסטום.","אופס, זה היה קידום אחרי המות.","אה, כן, זו הייתה קידום לאחר מות."
614,0.18,זה לא היה בזכותי.,לא עשיתי מספיק בשביל זה.,לא הרווחתי את זה.
614,0.43,לא זכיתי בו בצורה הוגנת.,לא עשיתי מספיק בשבילו.,לא הרווחתי אותו.
614,0.71,זה לא היה בזכותי.,לא הרווחתי את זה.,לא מגיע לי.
615,0.18,אי אפשר למות כאן כמו שצריך.,אני לא יכול אפילו למות כמו שצריך.,אני לא יכולה אפילו למות כמו שצריך.
615,0.43,אני לא יכול אפילו למות כמו שצריך.,לא מצליחה למות כמו שצריך.,אני לא יכולה אפילו למות כמו שצריך.
615,0.71,"אני לא יכולה אפילו למות
כמו שצריך.","אי אפשר לי אפילו למות
כמו שצריך.","אני לא יכול אפילו למות
כמו שאמורה."
616,0.18,"פשוט תקח את זה כניצחון, בסדר?","פשוט תקבלי את הניצחון, תוכלי?","פשוט תקבל את הניצחון, תוכל?"
616,0.43,"קח את זה כניצחון, בסדר?","פשוט תקבלי את הניצחון, תוכלי?","פשוט תקבל את הניצחון, תוכל?"
616,0.71,"קחלו את הניצחון,
תהיה בסדר?","קח את הניצחון,
הלוואי?","תקח את הניצחון,
הלוואי?"
617,0.18,ואם מישהו ראוי לקבל הפסקה לכיוונו...,ואם מישהי ראויה לקבל הפסקה לכיוונה...,ואם מישהו זכאי לקצת מזל...
617,0.43,ואם מישהו ראוי לקבל הפסקה לכיוונו...,ואם מישהי ראויה לקבל הפסקה לכיוונה...,ואם יש מישהו שצריך הפוגה לכיוונו...
617,0.71,"ואם מישהו ראוי
לקבל הפסקה לכיוונו...","ואם מישהו ראוי
לקבל קצת מזל...","ואם מישהי ראויה
לקבל הפסקה לכיוונה..."
618,0.18,אני מודה לך.,אני מודה.,תודה.
618,0.43,אני מודה.,מעריך.,תודה.
618,0.71,אני מודה.,אשמח.,תודה.
619,0.18,אני אשתדל שזה לא יהיה מוזר מדי פה.,אנסה לא להפוך את זה למביך מדי כאן.,אנסה שזה לא יהיה מביך מדי פה.
619,0.43,אנסה שלא להפוך את זה למביך מדי פה.,אנסה לא להפוך את המצב למביך מדי כאן.,אשתדל שלא להכביד על האווירה פה.
619,0.71,"אנסה שלא להפוך את זה
למביך מדי פה.","אנסה שזה לא יהיה
מביך מדי כאן.","אשתדל שלא להביך
אף אחד פה."
620,0.18,"היי, בן.","בן, היי.",היי.
620,0.43,בן: צהריים טובים.,בן: היי.,בן: אהלן.
620,0.71,בן: צהריים טובים.,בן: היי.,בן: הי.
621,0.18,גרייס: איך היה היום? טוב.,גרייס: איך עבר היום? טוב.,גרייס: מה נשמע היום? טוב.
621,0.43,גרייס: איך היה היום שלך? טוב.,גרייס: מה קורה? היה יום טוב?,גרייס: הכול בסדר היום? טוב.
621,0.71,"גרייס:
איך עבר היום?
טוב.","גרייס:
איך היה היום שלך?
טוב.","גרייס:
מה נשמע היום?
בסדר."
622,0.18,"היי, תסתכלו פה -- כל חולצת הפנאי","היי, תראו -- כל חולצת הנוחות","היי, תבדקו את זה -- כל חולצת הטריקו הנעימה"
622,0.43,תראו מה יש לי פה -- כל חולצת הטישרט הנעימה,"היי, תראו מה יש לי -- כל חולצת הנוחות",תסתכלו מה מצאתי -- כל חולצת הטישרט הכי נוחה
622,0.71,"תראה כאן --
כל חולצת הנעימות","היי, תסתכל --
כל חולצה נוחה","היי, תראה --
כל חולצת הנוחות"
623,0.18,וקוביית לגו מגניבה ביותר על פני כדור הארץ.,וסט לגו הכי מגניב שיש בעולם.,ומשחקי לגו הכי שווים שיש.
623,0.43,וקוביות לגו הכי מגניבות בעולם.,וסט הלגו הכי מגניב שיש על כדור הארץ.,והסטים הכי מגניבים של לגו שתמצאו.
623,0.71,"וסט לגו מגניב
בכל הגלובוס.","וקוביית לגו מדליקה
בכל העולם.","וקוביית לגו מגניבה
על פני כדור הארץ."
624,0.18,"אני מודה לך, אמא.","אמא, תודה לך.","תודה, אמא."
624,0.43,"אני מודה לך, אמא.","ממש תודה, אמא.","תודה, אמא."
624,0.71,"אני מודה לך, אמא.","כל הכבוד, אמא.","תודה, אמא."
625,0.18,וואו.,איזה כיף.,מדהים.
625,0.43,אוו.,וואו.,איזה כיף.
625,0.71,וואו.,מדהים.,אוי ואבוי.
626,0.18,יש משהו?,הכל בסדר?,הכול טוב?
626,0.43,משהו לא בסדר?,הכל בסדר?,הכל טוב אצלך?
626,0.71,יש משהו?,הכל בסדר?,הכול תקין?
627,0.18,"הכל בסדר. בן: מה קורה, חבר?","כלום, הכל טוב. בן: מה המצב, חבר?","זה בסדר. בן: מה נשמע, חבר?"
627,0.43,"הכל בסדר. בן: מה קורה, חבר?","כלום, הכל טוב. בן: מה נשמע, חבר?","סבבה, אל תדאג. בן: מה קורה, אחי?"
627,0.71,"הכל בסדר.
בן:
מה קורה, חבר?","אין דאגות.
בן:
מה המצב, גבר?","זה טוב.
בן:
מה נשמע, אחי?"
628,0.18,אני מתגעגע לדברים שלי --,חסרים לי הדברים שלי --,אני מרגיש חסר לי משהו --
628,0.43,אני מתגעגע לדברים שלי --,חסרים לי הדברים שלי --,אני מרגיש חסרון של החפצים שלי --
628,0.71,אני מתגעגע לדברים שלי --,הכל מרגיש חסר בלעדי הדברים שלי --,חסרים לי הדברים שלי --
629,0.18,"לאוסף הסלעים שלי, ארט הדרקון.","לאוסף המינרלים שלי, ארט הדרקון.","לאוסף האבנים שלי, ארט הדרקון."
629,0.43,"לאוסף המינרלים שלי, לארת הדרקון.","לקולקציית האבנים שלי, לארת, הדרקון שלי.","לאוסף האבנים שלי, לארת הדרקון."
629,0.71,"לאוסף המינרלים שלי,
ארת, הדרקון.","לאוספי הסלעים,
ארת, הדרקון.","את האוסף שלי של אבנים,
ארת הדרקון."
630,0.43,"אוח, קל, הקשב...","אה, קל, תקשיב...","אה, קל, שמע..."
630,0.18,"אוח, קל, תקשיב...","אוח, קל, שמע...","אוח, קל, הקשב..."
630,0.71,"אוח, קאל, תקשיב...","אוח, קאל, הקשב...","אוח, קאל, שמע..."
631,0.43,אין בעיה להרגיש עצוב.,זה בסדר להרגיש עצוב.,זה בסדר להיות עצוב.
631,0.18,אין בעיה להרגיש עצוב.,זה בסדר להרגיש עצוב.,זה בסדר להיות עצוב.
631,0.71,זה טבעי להרגיש עצוב.,זה בסדר להרגיש עצוב.,אין בעיה להרגיש עצובים.
632,0.43,גם אני לפעמים מרגישה עצובה.,גם אני לפעמים נכנסת לעצבים.,גם אני מתעצבת לפעמים.
632,0.18,גם אני מרגישה עצובה לפעמים.,גם אני לפעמים עצובה.,גם אני מתעצבת לפעמים.
632,0.71,גם אני נכנסת לעצב לפעמים.,גם אני מרגישה עצובה לפעמים.,גם אלי יש רגעים של עצב.
633,0.43,אני רק רוצה שהכל יחזור להיות כמו שהיה.,אני רק מתגעגעת לכל מה שהיה.,אני רק רוצה שהכול יחזור למצבו הקודם.
633,0.18,אני רק רוצה שהכל יחזור להיות כמו שהיה.,אני רק רוצה שהכל ישוב לקדמותו.,אני רק רוצה שהכול יחזור למצבו הקודם.
633,0.71,אני רק רוצה שהכל יחזור לקדמותו.,כל מה שאני רוצה זה שהכל יחזור להיות כמו פעם.,אני רק רוצה הכל לחזור למה שהיה.
634,0.43,"אוי, חמודה, אני מבינה, אני מבינה.","אוי, מתוקה, אני יודעת, אני יודעת.","אוי, נשמה, אני יודעת, אני יודעת."
634,0.18,"אוי, חמוד, אני מבינה, אני מבינה.","אוי, מתוקה, אני יודעת, אני יודעת.","אוי, נשמה, אני יודעת, אני יודעת."
634,0.71,"אוי, נשמה, אני יודעת, אני מבינה.","אוי, מתוקה, אני יודעת, אני יודעת.","אוי, חמוד, אני יודעת, אני מרגישה את זה."
635,0.43,"אבא, יאללה לנסיעה עכשיו?","אבא, אפשר לצאת לנסיעה עכשיו?","אבא, ניתן לקחת את הנסיעה עכשיו?"
635,0.18,"אבא, נוכל לקחת את הנסיעה עכשיו?","אבא, אפשר לצאת לנסיעה עכשיו?","אבא, יאללה לנסיעה עכשיו?"
635,0.71,"אבא, נקח את הנסיעה הזו עכשיו?","אבא, יאללה נצא לטיול עכשיו?","אבא, אנחנו יכולים לצאת לטיול עכשיו?"
636,0.43,"לאחר כשנתיים כזה,","כשנתיים לאחר מכן,","אחרי כשנתיים או כך,"
636,0.18,"אחרי שנתיים או כך,","כשנתיים לאחר מכן,","לאחר כשנתיים,"
636,0.71,"לאחר מספר שנים,","כעבור כשנתיים,","אחרי כשנתיים או כך,"
637,0.43,הבית נשאר בדיוק אותו הדבר.,הבית היה בדיוק כמו שהיה.,הבית לא השתנה כלל.
637,0.18,הבית לא השתנה ונשאר כמו שהיה.,הבית נשאר בדיוק כמו שהיה.,הבית היה בדיוק אותו הדבר.
637,0.71,הבית היה זהה לחלוטין.,הבית נשאר בדיוק אותו הדבר.,הבית לא השתנה כלל.
638,0.43,זה היה כמו מוזיאון של עצבות,הרגשתי כאילו זה מוזיאון של עצב,זה היה כמו מוזיאון עצוב הזה
638,0.18,זה היה כמו מוזיאון עצוב,זה היה כאילו מוזיאון של עצבות,זה היה כמו מוזיאון של עצב
638,0.71,נראה כאילו זה היה מוזיאון של עצב,הרגשתי כאילו זה מוזיאון של עצב,זה היה כמו מוזיאון עצוב הזה
639,0.43,והפסיכולוג אמר שאנחנו צריכים לשחרר,והפסיכולוג אמר שצריך להתקדם,והפסיכולוג טען שעלינו להיפרד
639,0.18,והפסיכולוג אמר שאנחנו צריכים לשחרר,והפסיכולוגית אמרה שצריך להיפרד,והמטפל אמר שעלינו להשלים עם זה
639,0.71,והפסיכולוג אמר שאנחנו צריכים לשחרר,והמטפל אמר שיש לנו צורך לשחרר,והפסיכולוגית אמרה שצריך להשתחרר
640,0.43,ואמא הייתה בהרס ואני...,ואמא נשברה ואני...,ואמא התמוטטה ואני...
640,0.18,ואמא קרסה ואני...,ואמא לא הצליחה להתמודד ואני...,ואמא הייתה בהתמוטטות ואני...
640,0.71,ואמא לא יכלה יותר ואני...,ואמא היתה מתפרקת ואני...,ואמא הייתה בהתמוטטות ואני...
641,0.43,"חמודה, אם היית כבר לא בשברים אחרי שנתיים,","מותק, אם לא היית בהרס יותר אחרי שנתיים,","נשמה, אם לא היית כבר מתפרקת אחרי שנתיים,"
641,0.18,"נשמה, אם לא היית במצב רוח רע אחרי שנתיים,","חמוד, אם לא היית קרסת אחרי שנתיים,","מותק, אם לא היית בהתמוטטות יותר אחרי שנתיים,"
641,0.71,"יקירי, אם כבר הפסקת להיות בהתמוטטות אחרי שנתיים,","חמוד, אם כבר לא היית מתפרק אחרי שנתיים,","מותק, אם לא היית בהתמוטטות עוד אחרי שנתיים,"
642,0.43,הייתי אומר שזה נשמע תקין.,הייתי אומר שזה נראה די בסדר.,הייתי אומר שזה נשמע די בריא.
642,0.18,הייתי אומר שזה נראה כמו התמודדות בריאה.,הייתי אומר שזה נשמע די בריא.,הייתי אומר שזה נשמע כמו תגובה בריאה.
642,0.71,אני הייתי אומר שזה דווקא טוב.,הייתי אומר שזה נראה כמו התחלה של משהו בריא.,הייתי אומר שזה נשמע די בריא.
643,0.43,אילו היה כך.,כך היה צריך להיות.,הלוואי.
643,0.18,אילו זה היה כך.,הלוואי.,אילו זה היה המצב.
643,0.71,נכון זה.,ככה זה.,הלוואי.
644,0.43,אני ידעתי שקל לא נפטר.,אני הייתי בטוחה שקל לא מת.,אני ידעתי שקל לא מת.
644,0.18,אני הייתי בטוחה שקל לא מת.,אני ידעתי שקל לא מת.,אני הייתי בטוח שקל לא נפטר.
644,0.71,אני הייתי בטוחה שקאל לא מת.,אני לא האמנתי שקאל מת.,אני ידעתי שקאל לא מת.
645,0.18,עשית את זה?,את עשית?,אתה עשית?
645,0.71,עשית את זה?,את עשית?,אתה עשית?
645,0.43,עשית את זה?,את עשית?,אתה עשית?
646,0.18,"אני לא יודע אם זה היה משהו כמו קשר תאום,","אני לא יודעת אם זה היה משהו כמו קשר תאום,","לא בטוח אם זה היה קשר תאום,"
646,0.71,"לא בטוחה אם זו הייתה איזו קטע של תאומים,","אני לא יודעת אם זה היה משהו כמו קשר תאום,","אני לא יודע אם זה היה קשר של תאומים,"
646,0.43,"לא בטוחה אם זה היה קשר תאומים,","אני לא יודע אם זה היה משהו כמו קשר תאומים,","אני לא יודעת אם זה היה משהו כמו קשר תאומים,"
647,0.18,אבל הרגשתי -- הרגשתי שהוא חי.,אבל יכולתי -- יכולתי להרגיש אותה... חיה.,אבל יכולתי -- יכולתי להרגיש אותו... חי.
647,0.71,"אבל הרגשתי --
הרגשתי אותו...חי.","אך הרגשתי --
הוא היה חי לדעתי.","אבל יכולתי --
יכולתי להרגיש אותו...חי."
647,0.43,אך הרגשתי -- הרגשתי אותו... חי.,אבל הרגשתי -- הרגשתי שהוא חי.,אבל יכולתי -- יכולתי להרגיש אותו... חי.
648,0.18,"והפסיכולוג, היועצים בבית הספר, אמא,","והפסיכולוגית, היועצות בבית הספר, אמא,","והמטפלים, היועצים בבית הספר, אמא,"
648,0.71,"והמטפלת,
היועצים בבית הספר, אמא,","הטיפולנית,
המדריכים במוסד הלימודים, אמא,","והפסיכולוגית,
המורים להתמודדות, אמא,"
648,0.43,"והפסיכולוג, היועצים בבית הספר, אמא,","והטיפולנית, המגברים בבית הספר, אימא,","והמטפלת, המורים לייעוץ בבית הספר, אמא,"
649,0.18,"כולן התעלמו, התעלמו ממני, אבל אני ידעתי.","כולם התעלמו, התעלמו ממני, אבל אני ידעתי.","כולם לא לקחו אותי ברצינות, אבל אני ידעתי."
649,0.71,"כולם התעלמו,
התעלמו ממני, אבל ידעתי.","כולם לא לקחו אותי ברצינות,
לא שמו לי לב, אך אני ידעתי.","כולם זלזלו,
זלזלו בי, אבל הייתי בטוחה."
649,0.43,"כולם התעלמו, התעלמו ממני, אבל אני ידעתי.","הכול זלזלו, זלזלו בי, אבל ידעתי.","כולם דחו את זה, דחו אותי, אך אני ידעתי."
650,0.18,אוקיי.,טוב.,בסדר.
650,0.71,אוקיי.,בסדר.,אחלה.
650,0.43,אוקיי.,בסדר.,הבנתי.
651,0.18,האם זה קשור לסיבה שאנחנו נמצאים,זה מסביר למה אנחנו כאן,זה קשור למה שאנחנו עושים כאן
651,0.71,"זה קשור
למה אנחנו כאן","זה מסביר
למה אנחנו פה","זו הסיבה
שאנחנו נמצאים כאן"
651,0.43,"זה מתחבר
לסיבה שאנחנו כאן","האם זה קשור
למה אנחנו כאן","זה קשור
למה אנחנו במקום הזה"
652,0.18,במתקן אחסון עם ריח לא נעים בלונג איילנד?,במחסן שמסריח בלונג איילנד?,במתקן אחסון שלא ניתן לעמוד בריחו בלונג איילנד?
652,0.71,"במתחם אחסון
עם ריח די גרוע בלונג איילנד?","באחסון שריחו לא משהו
בלונג איילנד?","במחסן שמסריח
בלונג איילנד?"
652,0.43,"במתקן אחסון
בעל ריח לא נעים בלונג איילנד?","במתקן אחסון
שמריח רע בלונג איילנד?","במחסן
עם ריח מסריח בלונג איילנד?"
653,0.18,"אמא נתנה אוזן לפסיכולוג, אוקיי?","אמא האזינה לפסיכולוג, אוקיי?","אמא שמעה לדעת הפסיכולוג, בסדר?"
653,0.71,"אמא שמעה
למה שהטיפולנית אמרה, אוקיי?","אמא הקשיבה
לפסיכולוג, אוקיי?","אמא נעתרה
לדעת המטפלת, בסדר?"
653,0.43,"אמא האזינה
לפסיכיאטר, בסדר?","אמא שמעה
לדעת הפסיכולוג, אוקיי?","אמא הקשיבה
לפסיכולוג, בסדר?"
654,0.18,"שימה את כל הדברים שלך ושל כל בתיבות,","היא ארזה את כל הדברים שלך ושל כל בארגזים,","היא חבלה את כל הדברים שלך ושל כל בקופסאות,"
654,0.71,"היא נתנה הכל בקופסאות,
שלך ושל כל,","היא ארזה את כל הדברים
שלך ושל כל בקופסאות,","היא שמה את כל הציוד
שלך ושל כל בארגזים,"
654,0.43,"היא שמה את כל החפצים
שלך ושל כל בקופסאות,","היא ארזה את כל הדברים
שלך ושל כל בארגזים,","היא עטפה את כל מה שלך
ושל כל בתיבות,"
655,0.18,השאירה על המדרכה לצלב האדום,הותירה בחוץ לצלב האדום,הניחה על המדרכה לאיסוף של צלב האדום
655,0.71,"השאירה בצד הדרך
למסירה לצלב האדום","הניחה ליד המדרכה
לצלב האדום","השאירה על המדרכה
לצלב האדום"
655,0.43,"נטשה על המדרכה
לטובת צלב האדום","הניחה על המדרכה
לאיסוף על ידי צלב האדום","השאירה על המדרכה
לצלב האדום"
656,0.18,ואז יצאה לעבודה.,ואז הלכה לעבודה.,ואז נסעה לעבודה.
656,0.71,"ואז
נסעה לעבודה שלה.","ואז
הלכה לעבודה.","ואחר כך
יצאה לעבודה."
656,0.43,"ואז
יצאה לעבודה.","ואז
הלכה לעבודה.","ואחר כך
נסעה לעבודה."
657,0.18,התקשרתי וביטלתי את האיסוף.,קראתי וביטלתי את האיסוף.,אני התקשרתי וביטלתי את האיסוף.
657,0.71,"אני התקשרתי,
וביטלתי את האיסוף.","התקשרתי,
ובטל האיסוף.","קראתי,
וביטלתי את האיסוף."
657,0.43,"אני התקשרתי,
וביטלתי את האיסוף.","טלפנתי,
וביטלתי את האיסוף.","התקשרתי,
ובטל האיסוף."
658,0.18,"אז אם שמרת על הדברים שלו כל הזמן,","אז אם יש לך את הדברים שלו כל הזמן,","אז אם החזקת את הדברים שלו כל הזמן הזה,"
658,0.71,"אז אם יש לך את הציוד
שלו כל הזמן,","ובכן, אם החזקת את הדברים
שלו כל הזמן הזה,","אם היו לך הדברים
שלו כל התקופה הזאת,"
658,0.43,"ובכן, אם יש לך את הדברים
שלו כל התקופה הזו,","אז, אם שמרת על הציוד
שלו כל העת,","אז, אם החזקת את החפצים
שלו כל הזמן הזה,"
659,0.18,למה לא אמרת משהו?,למה שתקת?,למה לא דיברת על זה?
659,0.71,למה לא פתחת פה?,"למה לא סיפרת
משהו?",למה שתקת?
659,0.43,"למה לא סיפרת
משהו?",למה שתקת?,"למה לא חשפת
את זה?"
660,0.18,זאת סיטואציה מורכבת.,זה מסובך.,מצב מורכב.
660,0.71,זאת סיטואציה מורכבת.,זה מסובך.,"מורכב, יש לזה הרבה צדדים."
660,0.43,זה מסובך.,מצב לא פשוט.,זו סיטואציה מורכבת.
661,0.18,אמא לא יודעת על כלום מזה.,אמא לא בקיאה בכל הסיפור הזה.,אמא לא מודעת לשום דבר מזה.
661,0.71,אמא לא יודעת על כלום מזה.,האם לא בקיאה בשום דבר מהסיפור הזה.,אמא לא מודעת לשום דבר מזה.
661,0.43,אמא לא יודעת על כלום מזה.,אמא לא בקיאה באף אחד מהדברים האלה.,אימא לא מודעת לשום דבר מזה.
662,0.18,"אוליב, מי בעלים על המחסן הזה?","אוליב, למי המחסן הזה שייך?","אוליב, של מי המחסן הזה?"
662,0.71,"אוליב, למי הלוקר הזה שייך?","אוליב, של מי המחסן הזה?","אוליב, זה לוקר של מי?"
662,0.43,"אוליב, זה מחסן של מי?","אוליב, של מי המחסן הזה?","אוליב, למי שייך המחסן הזה?"
663,0.18,אוליב היא.,זו אוליב.,אוליב.
663,0.71,אני זה.,אוליב.,זה אני.
663,0.43,זה של אוליב.,אוליב.,הוא של אוליב.
664,0.18,"חברה של אמא, בסדר?","מדובר בחברה של אמא, הבנת?","זו חברה של אמא, אוקי?"
664,0.71,"חברה של אמא, בסדר?","זו ידידה של אמא, אוקיי?","חברה של האם, בסדר גמור?"
664,0.43,"חברה של אמא, בסדר?","מדובר בחברה של אמא, הבנת?","זו חברה של אמא, אוקי?"
665,0.18,"""חברה.""","""אז חברה, הא?""","""כביכול חברה."""
665,0.71,"""חברה.""","""אוקיי, 'חברה'.""","""ידידה."""
665,0.43,"""אחת שנחשבת חברה.""","""חברה"".","""כן, חברה."""
666,0.18,דאדי.,אבא.,זה אבא.
666,0.71,אבא.,אבי.,פאפא.
666,0.43,דאד.,אבא.,פאפא.
667,0.18,"אוקיי, תקרבי.",בסדר. תגיעי לכאן.,"בסדר, תבואי אלי."
667,0.71,"בסדר, בוא נסה.","אוקיי, תקרב אלי.",בסדר. תגיע לכאן.
667,0.43,"טוב, תקרב אליי.",בסדר. תגיע אלי.,"אוקיי, בוא נהיה קרובים."
668,0.18,זה היה המהלך הנכון.,עשית את הדבר הנכון.,פעלת כהלכה.
668,0.71,זה היה הצעד הנכון.,עשית את הדבר הנכון.,פעלת נכון.
668,0.43,זה היה המהלך הנכון.,עשית את הדבר הנכון.,פעלת כהלכה.
669,0.18,"היי, הכול בסדר איתך?",הכל טוב איתך? את בסדר?,"היי, את בסדר? את בסדר?"
669,0.71,הכל בסדר אצלך?,"היי, אתה בסדר? אתה בסדר?","אתה בסדר, נכון? הכל טוב?"
669,0.43,"מה נשמע, אתה בסדר?","אהלן, הכל טוב איתך?","היי, אתה -- אתה בסדר?"
670,0.18,"תישאר פה, בסדר? תישאר פה.","אל תזוז מכאן, אוקי? אל תזוז.","תישאר כאן, בסדר? תישאר כאן."
670,0.71,"הישאר כאן, בסדר? אל תזוז.","תישאר פה, בסדר? תישאר כאן.","אל תזוז מפה, אוקיי? תישאר פה."
670,0.43,"אל תזוז מפה, אוקי? תישאר פה.","שהה כאן, בסדר? נשאר כאן.","תישאר כאן, בסדר? תישאר כאן."
671,0.18,♫♫,♬♬,♪♪
671,0.71,♪♪,,
671,0.43,♪♪,,
672,0.18,♫♫,♬♬,♪♪
672,0.71,♪♪,,
672,0.43,♪♪,,
673,0.18,[ מנגינת צלצול מתנגנת ],[ צלצול טלפון מנגן מנגינה ],[ נעימת צלצול בטלפון ]
673,0.71,[ נעימת צלצול נגנת ],[ שיר צלצול מתנגן ],[ צלצול פלאפון בצלילה ]
673,0.43,[ מנגינת צלצול בפלאפון ],[ צלצול פלאפון מנגן מנגינה ],[ הצלצול של פלאפון משמיע מנגינה ]
674,0.18,איש: שלום?,גבר: כן?,גבר: הלו?
674,0.71,איש: שלום?,גבר: כן?,גבר: הלו?
674,0.43,איש: שלום?,גבר: כן?,גבר: הלו?
675,0.71,"כן, תפגש אותי בצד האחורי.","אוקיי, בוא נפגש מאחורה.","כן, נפגש בחוץ."
675,0.43,"אוקיי, בוא נפגש מאחורה.","כן, תפגש אותי באחורה.","כן, נפגש בחוץ."
675,0.18,"כן-כן, תפגוש אותי מאחורה.","כן, כן, בוא ניפגש בחצר.","אה-אה, נפגש בחוץ מאחורה."
676,0.71,"אהה, כן, שעונים, טבעות יהלום, וצמידים.","בטח, שעונים, טבעות, צמידים.","כן, אה, שעונים, טבעות יהלום, צמידים."
676,0.43,"בטח, שעונים, טבעות יקרות, צמידים.","אוקיי, מדובר בשעונים, טבעות יהלום, צמידים.","כן, אה, שעונים, טבעות יהלום, צמידים."
676,0.18,"אוקיי, אה, שעונים, טבעות יקרות, צמידים.","כן, אה, שעונים, טבעות יהלום, צמידים.","כן, שעונים, טבעות יהלום, וצמידים."
677,0.71,בסדר. כן.,"טוב, אני מסכים.","אוקיי, בסדר גמור."
677,0.43,"טוב, כן.",בסדר. כן.,"אוקיי, בסדר."
677,0.18,"טוב, כן.",בסדר. כן.,אוקיי. אה-ה.
678,0.71,"אני אקח עשרה, אבל תזיז את זה מחוץ למדינה.","אני אקח 10, אבל אתה חייב להוציא את הדברים האלו מהמדינה.","אקח עשרה, אבל תדאג לזוז את זה מחוץ למדינה."
678,0.43,"אני אקח עשרה, אבל תזוז את זה מחוץ למדינה.","אני בעד עשרה, אבל תסדר שזה יצא מהארץ.","אני אקח 10, אבל אתה חייב להוציא את הדברים האלה מהמדינה."
678,0.18,"אני אקח עשרה, אבל תזיז את זה מחוץ למדינה.","אני אקח עשרה, אבל אתה צריך להוציא את הדברים האלה מהמדינה.","אני אקח עשרה, אבל תדאג להעביר את הכל מחוץ למדינה."
679,0.71,האנשים מחפשים אחרי זה. וואו. איך יצא לך --,אנשים מחפשים אחרי זה. איך --,האנשים מחפשים את זה. איך הצלחת ל--
679,0.43,אנשים מחפשים אחרי זה. אופס. איך אתה --,האנשים מחפשים את זה. וואו. איך זה --,הם מחפשים את זה. איך הצלחת --
679,0.18,האנשים מחפשים אחרי זה. אופס. איך אתה --,אנשים מחפשים את זה. וואו. איך יצא לך --,האנשים מחפשים את זה. איך הצלחת --
680,0.71,♪♪,,
680,0.43,♪♪,,
680,0.18,♪♪,,
681,0.71,זה לא כפי שזה נשמע.,זה לא מה שזה נראה.,זה לא המראה שזה נותן.
681,0.43,זה לא מה שזה נראה.,זה לא מה שאתה חושב.,זה לא כמו שזה נשמע.
681,0.18,זה לא מה שזה נראה.,זה לא מה שאתה חושב.,זה לא כמו שזה נשמע.
